timestamp,category,prompt,trials,ttft_mean_ms,ttft_std_ms,tpot_mean_ms,tpot_std_ms,throughput_mean_tok_s,throughput_std_tok_s,generated_text
2026-04-16T10:04:13.273844,medium,What is the difference between supervised and unsupervised learning in machine learning?,3,161.66,115.12,85.64,0.11,11.64,0.08, Supervised learning is a type of machine learning where the model is trained using labeled data and the model learns to map the input data to a corresponding output. Unsupervised learning is a type o
2026-04-16T10:05:20.955858,medium,Explain the concept of recursion in programming and provide a simple example.,3,156.22,105.64,85.56,0.08,11.65,0.05," Recursion is a programming technique where a function invokes itself, allowing it to solve a problem by breaking it down into smaller instances of the same problem. This can be useful for solving pro"
2026-04-16T10:06:28.473036,medium,What are the main differences between TCP and UDP protocols?,3,142.92,81.65,85.4,0.17,11.68,0.07," 
TCP (Transmission Control Protocol) and UDP (User Datagram Protocol) are two main protocols used in computer networking for data communication. They are both used to transport data packets over the "
2026-04-16T10:07:36.176108,medium,"Explain what an API is and how it works, with a real world example.",3,165.26,120.75,85.56,0.17,11.65,0.04," – API Tutorial for Beginners
An API (Application Programming Interface) is a set of rules and protocols that enable different software systems to communicate with each other. It acts as an intermedia"
2026-04-16T10:08:43.881790,medium,What is the difference between a process and a thread in operating systems?,3,156.09,105.6,85.59,0.18,11.65,0.08," [duplicate]
What is the difference between process and thread?
In operating systems, both processes and threads are used to achieve multitasking. However, there is a fundamental difference between th"
2026-04-16T10:09:51.365352,medium,Explain the concept of Big O notation and why it matters in programming.,3,165.65,111.98,85.26,0.08,11.68,0.07, Big O notation is a mathematical way to describe the time and space complexity of an algorithm. It measures how long an algorithm takes to complete as the size of the input increases. Big O notation 
2026-04-16T10:10:58.808073,medium,What are the main differences between relational and graph databases?,3,140.1,78.66,85.31,0.21,11.69,0.04," [duplicate]
This question already has an answer on another Stack Exchange site. Check the original question on Database Administrators Stack Exchange.
Relational databases like MySQL, PostgreSQL and "
2026-04-16T10:12:10.611214,long,"The transformer architecture, introduced in the paper 'Attention is All You Need' by Vaswani et al. ",3,735.18,1089.94,88.67,0.15,10.98,0.51," 

The main challenges when running large transformer models on CPU-only systems are:
- Memory constraints: The large number of parameters and activations in transformer models can lead to high memory"
2026-04-16T10:13:21.249876,long,"In distributed computing, consistency and availability are often in tension, as described by the CAP",3,612.38,882.99,87.63,0.07,11.16,0.42," (2500 words)

The CAP theorem, also known as Brewer's CAP theorem, was formulated by computer scientist Eric Brewer in 2000. It states that in a distributed system, a trade-off must be made between c"
2026-04-16T10:14:32.753519,long,"Modern CPUs have multiple levels of cache memory (L1, L2, L3) designed to bridge the speed gap betwe",3,738.49,1098.11,88.26,0.26,11.03,0.53," 

## Step 1: Understanding the CPU Cache Hierarchy
The CPU cache hierarchy is designed to reduce the average memory access time by providing a faster access to frequently-used data. The hierarchy typ"
2026-04-16T10:15:43.571411,long,"The MapReduce programming model, introduced by Google in 2004, revolutionised large scale data proce",3,744.93,1105.65,87.34,0.17,11.14,0.54," How have recent developments in the Hadoop ecosystem, such as Hadoop 3 and YARN, impacted the decision? Be sure to address both the advantages and disadvantages of each framework. Finally, suggest so"
2026-04-16T10:16:54.840292,long,Quantisation is a model compression technique that reduces the precision of neural network weights f,3,818.89,1238.58,87.64,0.16,11.07,0.59," 

**Quantisation Types**

1.  **Symmetric vs Asymmetric Quantisation**: Symmetric quantisation uses the same quantisation step size for all values within a tensor, whereas asymmetric quantisation use"
